iter	Logloss
0	0.6898832572
1	0.6865224383
2	0.6829528464
3	0.6799148386
4	0.6769459666
5	0.6741088895
6	0.6708630571
7	0.6680608806
8	0.6649006507
9	0.6619234951
10	0.658548678
11	0.6555089995
12	0.6509883061
13	0.647958721
14	0.6448006197
15	0.6411733868
16	0.6371991526
17	0.6340683774
18	0.6308939124
19	0.6271208586
20	0.6241204171
21	0.6212244785
22	0.6184520215
23	0.6161867968
24	0.612873253
25	0.6106076955
26	0.6077209834
27	0.6048732406
28	0.6022744261
29	0.5993608961
30	0.5970315886
31	0.5937389962
32	0.5914831685
33	0.5887608117
34	0.5859472485
35	0.5834779738
36	0.5808857165
37	0.5781944803
38	0.57559565
39	0.5733444068
40	0.5704155909
41	0.5683469902
42	0.5656913039
43	0.5627912652
44	0.5599934296
45	0.5575245101
46	0.5544751103
47	0.5525599174
48	0.5504444427
49	0.5479341659
50	0.5456547426
51	0.5430588513
52	0.5411017589
53	0.5390367443
54	0.5371175305
55	0.5352598321
56	0.5329841623
57	0.5305325554
58	0.5282807529
59	0.5258983862
60	0.5240592307
61	0.5220902239
62	0.5197135907
63	0.5173178394
64	0.5153850796
65	0.5127000915
66	0.510764848
67	0.5075086686
68	0.5049112888
69	0.5030470868
70	0.5004127649
71	0.4984609077
72	0.4964343817
73	0.4939259418
74	0.4922098116
75	0.4901932867
76	0.4875954173
77	0.4854613178
78	0.4838897494
79	0.4819281922
80	0.4798830175
81	0.4779682252
82	0.4756389156
83	0.4737636084
84	0.4717773407
85	0.4701130931
86	0.4683902521
87	0.4663591807
88	0.4647881528
89	0.463371504
90	0.4611904222
91	0.4586745436
92	0.4563853533
93	0.4540908244
94	0.452492631
95	0.4510345096
96	0.4492254689
97	0.4475100014
98	0.4460571453
99	0.44427302
100	0.4426561819
101	0.4414046659
102	0.4398359646
103	0.4381990892
104	0.4364954709
105	0.4345963683
106	0.4334415253
107	0.4320391578
108	0.4304387867
109	0.4288141921
110	0.4275840681
111	0.4260541323
112	0.4243998148
113	0.4224559204
114	0.4209495006
115	0.4192243821
116	0.4175242609
117	0.415943611
118	0.4142684302
119	0.4122082309
120	0.4107650966
121	0.4091179016
122	0.40780597
123	0.4064986726
124	0.4051242064
125	0.4038373624
126	0.4025862092
127	0.4013774078
128	0.3999344682
129	0.3985445261
130	0.3974185809
131	0.396362129
132	0.3952313699
133	0.3940069428
134	0.3928559512
135	0.391647857
136	0.3902073327
137	0.3888246566
138	0.3876472258
139	0.3861156445
140	0.3846442667
141	0.3828027735
142	0.3816026229
143	0.380455096
144	0.379182081
145	0.3780599919
146	0.3771213192
147	0.3763076642
148	0.3751625473
149	0.3743459036
150	0.3731863504
151	0.3719984908
152	0.3709496214
153	0.3701137316
154	0.368744521
155	0.3671887305
156	0.3656325455
157	0.3644945105
158	0.3632551025
159	0.3621438701
160	0.3608278952
161	0.3597290873
162	0.3584567232
163	0.3576351665
164	0.3562487357
165	0.3550096471
166	0.3538030573
167	0.3527808358
168	0.3516961279
169	0.3507317056
170	0.3497782819
171	0.3487483109
172	0.3475701354
173	0.3467566576
174	0.3456797986
175	0.3444382182
176	0.3434138177
177	0.3425221097
178	0.3414287694
179	0.3405786999
180	0.3396203387
181	0.3384697187
182	0.3374551486
183	0.336276816
184	0.3349579506
185	0.3337501504
186	0.3325961651
187	0.3314209153
188	0.3303018669
189	0.3288404657
190	0.3280047504
191	0.3269760028
192	0.3260992555
193	0.3251467311
194	0.324051845
195	0.3233321791
196	0.3224418412
197	0.3214987567
198	0.3206741828
199	0.3199777052
200	0.3189743641
201	0.3180869184
202	0.3169019728
203	0.3159176073
204	0.3147927736
205	0.3136375078
206	0.3124424671
207	0.3114165666
208	0.310329679
209	0.3095014146
210	0.3086083372
211	0.3074890364
212	0.306492662
213	0.3054159377
214	0.3042747068
215	0.303626032
216	0.3027107156
217	0.3016402206
218	0.3004021124
219	0.2998506247
220	0.2989273031
221	0.2983212818
222	0.2972456469
223	0.2962450747
224	0.2952234147
225	0.2950541648
226	0.2941228907
227	0.2935770089
228	0.2927185622
229	0.2918984351
230	0.2913534669
231	0.2903621025
232	0.2893829818
233	0.2885741515
234	0.2879576696
235	0.2872765738
236	0.2864865376
237	0.2858062193
238	0.2852525743
239	0.284280913
240	0.2835666051
241	0.2827926973
242	0.2818989253
243	0.2811402608
244	0.2805525308
245	0.2795448451
246	0.2784332801
247	0.27768066
248	0.2771061858
249	0.2764292397
250	0.2759403331
251	0.2750177532
252	0.274241713
253	0.2734275927
254	0.2726965715
255	0.2722993726
256	0.2716384808
257	0.2708383941
258	0.2703198212
259	0.2694094981
260	0.2688195454
261	0.2681027346
262	0.2673542262
263	0.2667162921
264	0.2658268832
265	0.2653634193
266	0.2647016078
267	0.2640913205
268	0.2636674601
269	0.2632357567
270	0.262601264
271	0.2619041505
272	0.2615394682
273	0.2608391036
274	0.260164555
275	0.2592582765
276	0.258326513
277	0.2576425508
278	0.2569938835
279	0.2565289495
280	0.2559411597
281	0.255303773
282	0.2545650466
283	0.2540581605
284	0.2534012144
285	0.2528860716
286	0.2521313989
287	0.2516188446
288	0.2509039546
289	0.2502150681
290	0.2495672139
291	0.2489905741
292	0.2482137445
293	0.2477358474
294	0.2470450243
295	0.2461975298
296	0.2455723259
297	0.2452888665
298	0.2447327832
299	0.2440633608
300	0.2434148748
301	0.2428073421
302	0.2423661343
303	0.2419185867
304	0.2415023567
305	0.2405906915
306	0.2401745579
307	0.2394822375
308	0.239030614
309	0.2385627854
310	0.2377363403
311	0.2372279976
312	0.2368170727
313	0.2363234129
314	0.2356098771
315	0.2347426195
316	0.2341393529
317	0.2336893529
318	0.2333138297
319	0.2327022423
320	0.2323349986
321	0.2316578114
322	0.231184649
323	0.2307221041
324	0.2300714321
325	0.2294676249
326	0.2291577316
327	0.2287110939
328	0.2281144815
329	0.2277319856
330	0.2272481309
331	0.2267027461
332	0.2262623608
333	0.2258646981
334	0.2255350039
335	0.2250638291
336	0.2245155861
337	0.2239282346
338	0.2233758679
339	0.2228330189
340	0.2224308754
341	0.2218175051
342	0.221258128
343	0.2206009184
344	0.2201008447
345	0.2194249178
346	0.2190509732
347	0.2185377976
348	0.2181388313
349	0.2175171799
350	0.2169433229
351	0.2164838549
352	0.2160653454
353	0.2157107006
354	0.2150029675
355	0.214542362
356	0.2142219599
357	0.2136032359
358	0.2131560338
359	0.2127396916
360	0.2125127971
361	0.2118372278
362	0.2113785792
363	0.210958767
364	0.2107002899
365	0.2105451656
366	0.2101750554
367	0.2096197909
368	0.2093002689
369	0.2089259103
370	0.2084534191
371	0.208224183
372	0.2076960527
373	0.2071930449
374	0.2067221647
375	0.2062252634
376	0.2057905076
377	0.2053538399
378	0.2049158701
379	0.2044214865
380	0.2042002163
381	0.2037118977
382	0.2033329284
383	0.2028591498
384	0.2024292589
385	0.202085908
386	0.2017428575
387	0.2014199836
388	0.2009723193
389	0.2003692024
390	0.19998011
391	0.1996958071
392	0.1992601653
393	0.1988366775
394	0.1982469128
395	0.1979848681
396	0.1974485387
397	0.1969866177
398	0.1966957517
399	0.1962341186
400	0.1957727171
401	0.1953009127
402	0.1948658427
403	0.1944887195
404	0.1942257452
405	0.1939779054
406	0.1936510571
407	0.1932069321
408	0.1928590571
409	0.1925821976
410	0.1921861189
411	0.1917596095
412	0.1913123243
413	0.1908272757
414	0.1904345967
415	0.1900791297
416	0.1896572795
417	0.1892149875
418	0.1887354144
419	0.1883335197
420	0.1879943659
421	0.1876010159
422	0.1872005307
423	0.1866639052
424	0.1864266704
425	0.1859662867
426	0.185506264
427	0.1852561985
428	0.184629768
429	0.1841891816
430	0.1835632987
431	0.1830282139
432	0.1825573148
433	0.1821165058
434	0.1815603091
435	0.1812276748
436	0.1808615992
437	0.1804298185
438	0.1800418407
439	0.1797742001
440	0.1794093996
441	0.1789360463
442	0.1784813399
443	0.1782826462
444	0.1779874835
445	0.1776929299
446	0.1772286932
447	0.1767525398
448	0.1762818349
449	0.1758697146
450	0.1756274968
451	0.1752087225
452	0.1749465201
453	0.1745564712
454	0.1741769997
455	0.1737826211
456	0.1734000338
457	0.1729808083
458	0.1726773761
459	0.1724425571
460	0.1720492776
461	0.1718209904
462	0.1714663958
463	0.1714448772
464	0.1710305391
465	0.1708920503
466	0.1706275645
467	0.1702825093
468	0.1699508156
469	0.1696225379
470	0.1693122637
471	0.1690604159
472	0.1688112504
473	0.1686015131
474	0.1681666192
475	0.1678109616
476	0.1677355092
477	0.1674746777
478	0.1671265098
479	0.1669369677
480	0.1665946139
481	0.1663380014
482	0.1658939028
483	0.1655825363
484	0.1652680095
485	0.1650089626
486	0.1646253731
487	0.1642957162
488	0.1641146689
489	0.1639521259
490	0.1636795604
491	0.1634656912
492	0.1632828813
493	0.1629542881
494	0.1627574588
495	0.1623003704
496	0.1620504591
497	0.1617475295
498	0.1615018823
499	0.1610601804
500	0.1607532383
501	0.1604236935
502	0.1600342696
503	0.1596142983
504	0.1593861055
505	0.159099732
506	0.1587445678
507	0.1583792308
508	0.1581418711
509	0.1578936926
510	0.1575039305
511	0.1571454663
512	0.156933517
513	0.1567400825
514	0.1564138289
515	0.1561103069
516	0.1559022216
517	0.1556166639
518	0.1552841604
519	0.1549770702
520	0.1545633939
521	0.1542198483
522	0.1538947043
523	0.1536792009
524	0.1534252787
525	0.1532187312
526	0.1530264559
527	0.1527589624
528	0.1525068352
529	0.1522903931
530	0.1519930314
531	0.1517762373
532	0.1514075975
533	0.1509855967
534	0.1506243346
535	0.150363626
536	0.1502446368
537	0.1500984457
538	0.1497571266
539	0.1495460747
540	0.1491590482
541	0.1489325121
542	0.1485599459
543	0.1483264274
544	0.1479733045
545	0.1477578045
546	0.1474949603
547	0.1473450105
548	0.1470510542
549	0.1466923182
550	0.1465660851
551	0.1462714102
552	0.1460955898
553	0.1457772399
554	0.1455664621
555	0.1453785781
556	0.1451107826
557	0.1448894564
558	0.1446898411
559	0.1444181954
560	0.1441799399
561	0.143897218
562	0.1437173517
563	0.1434235113
564	0.1431684446
565	0.1429826325
566	0.1427156543
567	0.1425183354
568	0.1421434004
569	0.1419503935
570	0.1417865992
571	0.141678341
572	0.1414683727
573	0.1411999722
574	0.1409629928
575	0.1407484321
576	0.1404213628
577	0.140232055
578	0.1399891969
579	0.139773747
580	0.139563299
581	0.1393609029
582	0.1390437742
583	0.1389302436
584	0.1386411526
585	0.1384000803
586	0.1381705891
587	0.1380189745
588	0.1377772794
589	0.1375642703
590	0.1372934594
591	0.1371180965
592	0.1368565679
593	0.1366878269
594	0.1365397056
595	0.1363610299
596	0.1361275755
597	0.135855844
598	0.1356620078
599	0.1354539575
600	0.1352815023
601	0.1350203895
602	0.1348300149
603	0.1345628166
604	0.1343072001
605	0.1340988993
606	0.1339819834
